Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Shakib Al Hasan (BDESH),8,8,1,606,124*,86.57,631,96.03,2,5,0,60,2
RG Sharma (INDIA),7,7,1,544,140,90.66,561,96.96,4,1,0,53,12
DA Warner (AUS),8,8,1,516,166,73.71,596,86.57,2,3,0,49,6
AJ Finch (AUS),8,8,0,504,153,63.00,492,102.43,2,3,0,47,18
JE Root (ENG),9,9,1,500,107,62.50,545,91.74,2,3,0,40,2
KS Williamson (NZ),8,7,2,481,148,96.20,623,77.20,2,1,0,42,3
Babar Azam (PAK),8,8,1,474,101*,67.71,540,87.77,1,3,0,50,2
JM Bairstow (ENG),9,9,0,462,111,51.33,475,97.26,2,2,2,55,11
V Kohli (INDIA),7,7,0,408,82,58.28,424,96.22,0,5,0,35,2
BA Stokes (ENG),9,9,2,381,89,54.42,401,95.01,0,4,0,33,9
Mushfiqur Rahim (BDESH),8,8,1,367,102*,52.42,396,92.67,1,2,0,30,2
N Pooran (WI),9,8,1,367,118,52.42,366,100.27,1,2,0,33,10
JJ Roy (ENG),6,5,0,341,153,68.20,299,114.04,1,3,0,39,7
EJG Morgan (ENG),9,8,0,317,148,39.62,273,116.11,1,1,0,18,22
Imam-ul-Haq (PAK),8,8,0,305,100,38.12,400,76.25,1,1,0,31,1
UT Khawaja (AUS),8,8,0,298,89,37.25,344,86.62,0,2,0,27,1
F du Plessis (SA),8,7,2,287,96*,57.40,338,84.91,0,3,0,29,2
SPD Smith (AUS),8,8,0,287,73,35.87,316,90.82,0,3,0,26,2
SD Hope (WI),9,8,0,274,96,34.25,389,70.43,0,3,0,21,3
LRPL Taylor (NZ),8,7,0,261,82,37.28,344,75.87,0,2,0,26,1
SO Hetmyer (WI),9,8,1,257,54,36.71,253,101.58,0,2,0,25,6
MDKJ Perera (SL),6,6,0,255,78,42.50,232,109.91,0,3,0,29,1
Rahmat Shah (AFG),9,9,0,254,62,28.22,390,65.12,0,1,1,31,1
JC Buttler (ENG),9,8,0,253,103,31.62,194,130.41,1,1,0,16,8
Q de Kock (SA),8,8,1,253,68,36.14,300,84.33,0,2,0,27,4
Mohammad Hafeez (PAK),8,8,0,253,84,31.62,285,88.77,0,1,0,22,5
KL Rahul (INDIA),7,7,1,249,77,41.50,341,73.02,0,2,1,20,4
AT Carey (AUS),8,7,3,244,71,61.00,221,110.40,0,2,0,31,1
CH Gayle (WI),9,8,0,242,87,30.25,274,88.32,0,2,1,26,12
Tamim Iqbal (BDESH),8,8,0,235,62,29.37,328,71.64,0,1,0,25,0
Najibullah Zadran (AFG),8,8,0,230,51,28.75,259,88.80,0,1,0,25,4
MS Dhoni (INDIA),7,7,2,223,56*,44.60,239,93.30,0,1,0,19,4
Mahmudullah (BDESH),7,6,1,219,69,43.80,244,89.75,0,1,0,14,5
HE van der Dussen (SA),8,5,1,216,67*,54.00,247,87.44,0,2,0,10,6
FDM Karunaratne (SL),6,6,1,212,97,42.40,294,72.10,0,2,1,20,0
HM Amla (SA),7,7,2,203,80*,40.60,313,64.85,0,2,0,16,0
JDS Neesham (NZ),8,6,1,201,97*,40.20,251,80.07,0,1,0,12,5
Haris Sohail (PAK),5,5,0,198,89,39.60,209,94.73,0,2,0,18,5
Hashmatullah Shahidi (AFG),8,8,0,197,76,24.62,349,56.44,0,2,1,20,2
Gulbadin Naib (AFG),9,9,0,194,47,21.55,243,79.83,0,0,0,20,2
HH Pandya (INDIA),7,7,1,187,48,31.16,135,138.51,0,0,1,18,4
Fakhar Zaman (PAK),8,8,0,186,62,23.25,227,81.93,0,1,2,24,3
Liton Das (BDESH),5,5,1,184,94*,46.00,167,110.17,0,1,0,16,5
WIA Fernando (SL),3,3,0,183,104,61.00,171,107.01,1,0,0,19,4
JO Holder (WI),9,7,0,170,51,24.28,156,108.97,0,1,1,16,8
MJ Guptill (NZ),8,8,1,166,73*,23.71,189,87.83,0,1,2,20,3
Soumya Sarkar (BDESH),8,8,0,166,42,20.75,164,101.21,0,0,0,24,2
Imad Wasim (PAK),6,5,2,162,49*,54.00,137,118.24,0,0,0,20,1
C de Grandhomme (NZ),8,6,0,158,64,26.33,151,104.63,0,2,1,14,4
