sp_name,species_author,status,family
Abracadabrella birdsville,"Zabka, 1991",accepted,Salticidae
Abracadabrella elegans,"(L. Koch, 1879)",accepted,Salticidae
Abracadabrella lewiston,"Zabka, 1991",accepted,Salticidae
Acragas carinatus,"Crane, 1943",accepted,Salticidae
Acragas castaneiceps,"Simon, 1900",accepted,Salticidae
Acragas erythraeus,"Simon, 1900",accepted,Salticidae
Acragas fallax,"(Peckham & Peckham, 1896)",accepted,Salticidae
Acragas flavescens,"Caporiacco, 1954",nomen dubium,Salticidae
Acragas hieroglyphicus,"(Peckham & Peckham, 1896)",accepted,Salticidae
Acragas humaitae,"Bauab & Soares, 1978",accepted,Salticidae
Acragas humilis,"Simon, 1900",accepted,Salticidae
Acragas leucaspis,"Simon, 1900",accepted,Salticidae
Acragas longimanus,"Simon, 1900",accepted,Salticidae
Acragas longipalpus,"(Peckham & Peckham, 1885)",accepted,Salticidae
Acragas mendax,"Bauab & Soares, 1978",accepted,Salticidae
Acragas miniaceus,"Simon, 1900",accepted,Salticidae
Acragas nigromaculatus,"(Mello-Leitão, 1922)",accepted,Salticidae
Acragas pacatus,"(Peckham & Peckham, 1896)",accepted,Salticidae
Acragas peckhami,"(Chickering, 1946)",accepted,Salticidae
Acragas phasianinus,"Simon, 1900",nomen dubium,Salticidae
Acragas procalvus,"Simon, 1900",accepted,Salticidae
Acragas quadriguttatus,"(F. O. Pickard-Cambridge, 1901)",accepted,Salticidae
Acragas rosenbergi,"Simon, 1901",accepted,Salticidae
Acragas trimaculatus,"Mello-Leitão, 1917",accepted,Salticidae
Acragas unidentatus,"Mello-Leitão, 1930",synonym,Salticidae
Acragas zeteki,"(Chickering, 1946)",accepted,Salticidae
Aculeobreda,"Caporiacco, 1955",synonym,Salticidae
Admestina archboldi,"Piel, 1992",accepted,Salticidae
Admestina tibialis,"(C. L. Koch, 1846)",accepted,Salticidae
Admestina wheeleri,"Peckham & Peckham, 1888",accepted,Salticidae
Admesturius bitaeniatus,"(Simon, 1901)",accepted,Salticidae
Admesturius mariaeugeniae,"Bustamante & Scioscia, 2014",accepted,Salticidae
Admesturius schajovskoyi,"Galiano, 1988",accepted,Salticidae
Adoxotoma bargo,"Zabka, 2001",accepted,Salticidae
Adoxotoma chionopogon,"Simon, 1909",accepted,Salticidae
Adoxotoma embolica,"Gardzińska & Zabka, 2010",accepted,Salticidae
Adoxotoma forsteri,"Zabka, 2004",accepted,Salticidae
Adoxotoma hannae,"Zabka, 2001",accepted,Salticidae
Adoxotoma justyniae,"Zabka, 2001",accepted,Salticidae
Adoxotoma nigroolivacea,"Simon, 1909",accepted,Salticidae
Adoxotoma nitida,"Gardzińska & Zabka, 2010",accepted,Salticidae
Adoxotoma nodosa,"(L. Koch, 1879)",accepted,Salticidae
Adoxotoma sexmaculata,"Gardzińska & Zabka, 2010",accepted,Salticidae
Aelurillus aeruginosus,"(Simon, 1871)",accepted,Salticidae
Aelurillus affinis,"(Lucas, 1846)",synonym,Salticidae
Aelurillus afghanus,"Azarkina, 2006",accepted,Salticidae
Aelurillus alboclypeus,"Azarkina & Komnenov, 2015",accepted,Salticidae
Aelurillus ambiguus,"(Denis, 1966)",accepted,Salticidae
Aelurillus andreevae,"Nenilin, 1984",accepted,Salticidae
Aelurillus angularis,"Prószyński, 2000",accepted,Salticidae
Aelurillus approximans,"(O. Pickard-Cambridge, 1872)",nomen dubium,Salticidae
Aelurillus ater,"(Kroneberg, 1875)",accepted,Salticidae
Aelurillus azerbajdzanicus,"Dunin, 1984",synonym,Salticidae
Aelurillus balearus,"Azarkina, 2006",accepted,Salticidae
Aelurillus basseleti,"(Lucas, 1846)",accepted,Salticidae
Aelurillus blandus,"(Simon, 1871)",accepted,Salticidae
Aelurillus bokerinus,"Prószyński, 2003",accepted,Salticidae
Aelurillus bosmansi,"Azarkina, 2006",accepted,Salticidae
Aelurillus brutus,"Wesolowska, 1996",accepted,Salticidae
Aelurillus candidus,"(Simon, 1868)",nomen dubium,Salticidae
